Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-01-01-02 - Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-02-01-01 - Installation of a new non-aerial openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-02-01-02 - Jointing of an aerial copper drop sheath to aerial DPU copper lead in a new or existing openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-02-01-04 - Jointing of copper drop sheath to DPU copper lead in a new or existing openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-02-01-05 - Supply and installation of a DPU copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure or to an existing aerial mounted terminal box joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FC-02-01-07 - Supply and installation of a DPU copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,FB-04-01-01 - Uni-directional OTDR Testing,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-001,CI-01-01-01 - Pipe Proving in existing duct,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-002,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-002,FC-01-01-02 - Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-002,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-002,FC-02-01-01 - Installation of a new non-aerial openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-06-DPU-002,FC-02-01-02 - Jointing of an aerial copper drop sheath to aerial DPU copper lead in a new or existing openable joint enclosure,1
